City,County,State,Country
Issaquah,NULL,Washington,United States
Istanbul,NULL,NULL,Turkey
Ithaca,NULL,New York,United States
Itri,NULL,NULL,Italy
Itzkany,NULL,NULL,Austria-Hungary
Iwate,NULL,NULL,Japan
Jackson,NULL,Michigan,United States
Jackson,NULL,Mississippi,United States
Jackson,NULL,Ohio,United States
Jackson,NULL,Tennessee,United States
Jackson,NULL,Wyoming,United States
Jackson Hole,NULL,Wyoming,United States
Jacksonville,NULL,Alabama,United States
Jacksonville,NULL,Florida,United States
Jacksonville,NULL,Illinois,United States
Jaffrey,NULL,New Hampshire,United States
Jal,NULL,NULL,Mexico
Jalisco,NULL,NULL,Mexico
Jamestown,NULL,New York,United States
Jamestown,NULL,North Dakota,United States
Jamestown,NULL,Tennessee,United States
Jamesville,NULL,New York,United States
Janesville,NULL,Iowa,United States
Jay,NULL,Maine,United States
Jeannette,NULL,Pennsylvania,United States
Jefferson,NULL,Oregon,United States
Jefferson City,NULL,Tennessee,NULL
Jefferson Island,NULL,Louisiana,United States
Jefferson Village,NULL,New Jersey,United States
Jeffersonville,NULL,Pennsylvania,United States
Jemez Pueblo,NULL,New Mexico,United States
Jericho,NULL,Texas,United States
Jerome,NULL,Arizona,United States
Jerry City,NULL,Ohio,United States
Jersey City,NULL,New Jersey,United States
Jerusalem,NULL,NULL,Israel
Jerusalem,NULL,NULL,Palestine
Johannesburg,NULL,NULL,South Africa
Johnson,NULL,Vermont,United States
Johnstown,NULL,New York,United States
Johnstown,NULL,Pennsylvania,United States
Joliet,NULL,Illinois,United States
Joplin,NULL,Missouri,United States
Joppa,NULL,Maryland,United States
Juarez,NULL,NULL,Mexico
Junction City,NULL,Kansas,United States
Juneau,NULL,Alaska,United States
Juno Beach,NULL,Florida,United States
Kabilia,NULL,NULL,Russia
Kagoshima,NULL,NULL,Japan
Kahla,NULL,NULL,Germany
Kailua,NULL,Hawaii,United States
Kalaheo,NULL,Hawaii,United States
Kalamazoo,NULL,Michigan,United States
Kalopa,NULL,Hawaii,United States
Kalvaria,NULL,NULL,Russia
Kamenets-Podolski,NULL,NULL,Russia
Kampen,NULL,NULL,Netherlands
Kanazawa,NULL,NULL,Japan
Kaneville,NULL,Illinois,United States
Kankakee,NULL,Illinois,United States
Kansas City,NULL,Kansas,United States
Kansas City,NULL,Missouri,United States
Kaohsiung,NULL,NULL,Taiwan
Kapaa,NULL,Hawaii,United States
Karlby Sogn,NULL,NULL,Denmark
Karlovy Vary,NULL,NULL,Czechoslovakia
Karlsruhe,NULL,NULL,Germany
Kassa,NULL,NULL,Hungary
Kassel,NULL,NULL,Germany
Kastoria,NULL,NULL,Greece
Katonah,NULL,New York,United States
Katranitsa,NULL,NULL,Greece
Kauai,NULL,Hawaii,United States
Kaunas,NULL,NULL,Russia
Kawehnoke,St. Regis Reservation,Ontario,Canada
Kaylor,NULL,Pennsylvania,United States
Kazan,NULL,NULL,Russia
Kazimierz,NULL,NULL,Poland
Kea'au,NULL,Hawaii,United States
Kearney,NULL,Nebraska,United States
Keene,NULL,New Hampshire,United States
Keene Valley,NULL,New York,United States
Keesville,NULL,New York,United States
Kehl,NULL,NULL,Germany
Kemerovo,NULL,NULL,U.S.S.R.
Kenai,NULL,Alaska,United States
Kendal,NULL,NULL,England
Kendallville,NULL,Indiana,United States
Kennebunk,NULL,Maine,United States
Kenosha,NULL,Wisconsin,United States
Kenoza Lake,NULL,New York,United States
Kensington,NULL,NULL,England
Kensington,NULL,Maryland,United States
Kent,NULL,NULL,England
Kent,NULL,Connecticut,United States
Kent,NULL,Ohio,United States
Kentfield,NULL,California,United States
Kenton,NULL,Ohio,United States
Kerteminde,NULL,NULL,Denmark
Kewanee,NULL,Illinois,United States
Kewanna,Fulton,Indiana,United States
Keyser,NULL,West Virginia,United States
Kharkov,NULL,NULL,Russia
Khorkom Vari Haiyotz Dzore,NULL,NULL,Armenia
Kielce,NULL,NULL,Poland
Kiev,NULL,NULL,Russia
Kihei,NULL,Hawaii,United States
Kii-Nagashima-cho,NULL,NULL,Japan
Kilbirnie,NULL,NULL,Scotland
Kilkenny,NULL,NULL,Ireland
Killingworth,NULL,Connecticut,United States
Kilmarnock,NULL,NULL,Scotland
Kilmarnock,NULL,Virginia,United States
Kilwinning,NULL,NULL,Scotland
Kingsburg,NULL,California,United States
Kingsport,NULL,Tennessee,United States
Kingston,NULL,NULL,Jamaica
Kingston,NULL,New York,United States
Kingston-upon-Thames,NULL,NULL,England
Kingstown,NULL,Rhode Island,United States
Kingsville,NULL,Texas,United States
Kinston,NULL,North Carolina,United States
Kirkkonummi,NULL,NULL,Finland
Kirkland,NULL,Washington,United States
Kirksville,NULL,Missouri,United States
Kirkwood,NULL,Missouri,United States
Kishinev,NULL,NULL,Romania
Kittanning,NULL,Pennsylvania,United States
Kittery,NULL,Maine,United States
Klamath Falls,NULL,Oregon,United States
Knebworth,NULL,Hertfordshire,England
Knightdale,NULL,North Carolina,United States
Knightsbridge,NULL,NULL,England
Knoxville,NULL,Tennessee,United States
Kobe,NULL,NULL,Japan
Kobryn,NULL,NULL,Russia
Kodiak,NULL,Alaska,United States
Kokomo,NULL,Indiana,United States
Kolding,NULL,NULL,Denmark
Koln,NULL,NULL,Germany
Kolsebro,NULL,NULL,Sweden
Konigsberg,NULL,NULL,Prussia
Koriyama,NULL,NULL,Japan
Kourim,NULL,NULL,Bohemia
Kovno,NULL,NULL,Lithuania
Krakow,NULL,NULL,Poland
Krasnagorka,NULL,NULL,Russia
Krefeld,NULL,NULL,Germany
Krivoi Rog,NULL,NULL,Russia
Krokeai,NULL,Sparta,Greece
Kronach,NULL,Bavaria,Germany
Kronberg,NULL,NULL,Germany
Krosno,NULL,NULL,Poland
Kure,NULL,NULL,Japan
Kussnacht am Rigi,NULL,NULL,Switzerland
Kutztown,NULL,Pennsylvania,United States
Kyoto,NULL,NULL,Japan
L'Isle-Adam,NULL,NULL,France
La Bastide-du-Vert,NULL,Lot,France
La Bernerie-en-Retz,NULL,NULL,France
La Conner,NULL,Washington,NULL
La Conner,NULL,Washington,United States
La Coruna,NULL,NULL,Spain
La Crescenta,NULL,California,United States
La Crosse,NULL,Wisconsin,United States
La Cueva,Mora County,New Mexico,United States
La Grande,NULL,Oregon,United States
La Grange,NULL,Illinois,United States
La Jolla,NULL,California,United States
La Paz,NULL,NULL,Bolivia
La Porte,NULL,Indiana,United States
La Rochelle,NULL,NULL,France
La Roque d'Antheron,NULL,NULL,France
La Salle,NULL,Illinois,United States
La Tronche,NULL,NULL,France
La Valette,NULL,NULL,France
La Vega,NULL,Province of Matanzas,Cuba
Laasphe,NULL,NULL,Germany
Laax,NULL,NULL,Switzerland
Lac du Flambeau,NULL,Wisconsin,United States
Lafayette,NULL,Alabama,United States
Lafayette,NULL,Indiana,United States
Lafitte,NULL,Louisiana,United States
Lagny,NULL,NULL,France
LaGrange,NULL,Illinois,United States
Laguna,NULL,New Mexico,United States
Laguna Beach,NULL,California,United States
Laguna Hills,NULL,California,United States
Laguna Niguel,NULL,California,United States
Laguna Woods,NULL,California,United States
Laignes,NULL,Cote-d'Or,France
Lake Charles,NULL,Louisiana,United States
Lake City,NULL,Tennessee,United States
Lake Elsinore,NULL,California,United States
Lake Forest,NULL,Illinois,United States
Lake George,NULL,New York,United States
Lake Oswego,NULL,Oregon,United States
Lake Valley,NULL,New Mexico,United States
Lakeland,NULL,Florida,United States
Lakeside,NULL,Michigan,United States
Lakeview,NULL,Ohio,United States
Lakewood,NULL,New Jersey,United States
Lakewood,NULL,Ohio,United States
Lambertville,NULL,New Jersey,United States
Lamesa,NULL,Texas,United States
Lamq,NULL,New Mexico,NULL
Lanark,NULL,Illinois,United States
Lancashire,NULL,NULL,England
Lancaster,NULL,New Hampshire,United States
Lancaster,NULL,Pennsylvania,United States
Lancaster,NULL,Virginia,United States
Landau,NULL,NULL,Germany
Lander,NULL,Wyoming,United States
Lanesboro,NULL,Massachusetts,United States
Lanesborough,NULL,Massachusetts,United States
Langhorne,NULL,Pennsylvania,United States
Langres,NULL,NULL,France
Lansdowne,NULL,Pennsylvania,United States
Lansford,NULL,Pennsylvania,United States
Lansing,NULL,Michigan,United States
Laramie,NULL,Wyoming,United States
Larchmont,NULL,New York,United States
Laredo,NULL,Texas,United States
Larissa,NULL,NULL,Greece
Larned,NULL,Kansas,United States
Las Cruces,NULL,New Mexico,United States
Las Vegas,NULL,Nevada,United States
Lasai,NULL,NULL,Lithuania
Lastingham,NULL,NULL,England
Latania,NULL,Louisiana,United States
Lauder,NULL,Manitoba,Canada
Laurel,NULL,Florida,United States
Laurel,NULL,Maryland,United States
Laurel Bloomery,NULL,Tennessee,United States
Lausanne,NULL,NULL,Switzerland
Lausford,NULL,Pennsylvania,United States
Laval,NULL,NULL,Canada
Lavandou,NULL,NULL,France
Lawnton,NULL,Pennsylvania,United States
Lawrence,NULL,Kansas,United States
Lawton,NULL,Oklahoma,United States
Le Locle,NULL,NULL,Switzerland
Le Mans,NULL,Sarthe,France
Le Mesnil sur Blangy,NULL,NULL,France
Le Plessis Robinson,NULL,NULL,France
Le Sueur,NULL,Minnesota,United States
Le Vesinet,NULL,NULL,France
Leavenworth,NULL,Kansas,United States
Lebanon,NULL,Connecticut,United States
Lebanon,NULL,New Hampshire,United States
Lebanon,NULL,Oregon,United States
Lebanon,NULL,Pennsylvania,United States
Lebanon,NULL,Tennessee,United States
Lebanon,NULL,Virginia,United States
Lee City,NULL,Kentucky,United States
Leechburg,NULL,Pennsylvania,United States
Leeds,NULL,NULL,England
Leeds,NULL,Massachusetts,United States
Leesburg,NULL,Virginia,United States
Leeuwarden,NULL,NULL,Netherlands
Leicester,NULL,NULL,England
